"Dato";"Kumulativt antall";"Nye tilfeller"
"21.02.2020";1;1
"22.02.2020";1;0
"23.02.2020";1;0
"24.02.2020";1;0
"25.02.2020";1;0
"26.02.2020";4;3
"27.02.2020";6;2
"28.02.2020";15;9
"29.02.2020";21;6
"01.03.2020";31;10
"02.03.2020";43;12
"03.03.2020";74;31
"04.03.2020";107;33
"05.03.2020";140;33
"06.03.2020";164;24
"07.03.2020";184;20
"08.03.2020";249;65
"09.03.2020";496;247
"10.03.2020";737;241
"11.03.2020";912;175
"12.03.2020";1118;206
"13.03.2020";1265;147
"14.03.2020";1365;100
"15.03.2020";1464;99
"16.03.2020";1644;180
"17.03.2020";1820;176
"18.03.2020";2033;213
"19.03.2020";2272;239
"20.03.2020";2580;308
"21.03.2020";2754;174
"22.03.2020";2902;148
"23.03.2020";3199;297
"24.03.2020";3512;313
"25.03.2020";3804;292
"26.03.2020";4101;297
"27.03.2020";4363;262
"28.03.2020";4529;166
"29.03.2020";4635;106
"30.03.2020";4899;264
"31.03.2020";5107;208
"01.04.2020";5305;198
"02.04.2020";5503;198
"03.04.2020";5667;164
"04.04.2020";5755;88
"05.04.2020";5827;72
"06.04.2020";5985;158
"07.04.2020";6125;140
"08.04.2020";6231;106
"09.04.2020";6334;103
"10.04.2020";6402;68
"11.04.2020";6511;109
"12.04.2020";6587;76
"13.04.2020";6664;77
"14.04.2020";6786;122
"15.04.2020";6890;104
"16.04.2020";6970;80
"17.04.2020";7078;108
"18.04.2020";7127;49
"19.04.2020";7163;36
"20.04.2020";7247;84
"21.04.2020";7325;78
"22.04.2020";7402;77
"23.04.2020";7471;69
"24.04.2020";7525;54
"25.04.2020";7550;25
"26.04.2020";7587;37
"27.04.2020";7658;71
"28.04.2020";7708;50
"29.04.2020";7747;39
"30.04.2020";7786;39
"01.05.2020";7829;43
"02.05.2020";7852;23
"03.05.2020";7896;44
"04.05.2020";7941;45
"05.05.2020";7984;43
"06.05.2020";8023;39
"07.05.2020";8052;29
"08.05.2020";8093;41
"09.05.2020";8104;11
"10.05.2020";8116;12
"11.05.2020";8139;23
"12.05.2020";8158;19
"13.05.2020";8177;19
"14.05.2020";8200;23
"15.05.2020";8221;21
"16.05.2020";8234;13
"17.05.2020";8237;3
"18.05.2020";8254;17
"19.05.2020";8274;20
"20.05.2020";8293;19
"21.05.2020";8307;14
"22.05.2020";8333;26
"23.05.2020";8339;6
"24.05.2020";8345;6
"25.05.2020";8363;18
"26.05.2020";8375;12
"27.05.2020";8393;18
"28.05.2020";8409;16
"29.05.2020";8425;16
"30.05.2020";8425;0
"31.05.2020";8431;6
"01.06.2020";8438;7
"02.06.2020";8469;31
"03.06.2020";8481;12
"04.06.2020";8498;17
"05.06.2020";8528;30
"06.06.2020";8536;8
"07.06.2020";8545;9
"08.06.2020";8563;18
"09.06.2020";8576;13
"10.06.2020";8590;14
"11.06.2020";8601;11
"12.06.2020";8614;13
"13.06.2020";8621;7
"14.06.2020";8627;6
"15.06.2020";8645;18
"16.06.2020";8681;36
"17.06.2020";8696;15
"18.06.2020";8709;13
"19.06.2020";8727;18
"20.06.2020";8733;6
"21.06.2020";8737;4
"22.06.2020";8764;27
"23.06.2020";8777;13
"24.06.2020";8798;21
"25.06.2020";8815;17
"26.06.2020";8837;22
"27.06.2020";8847;10
"28.06.2020";8848;1
"29.06.2020";8874;26
"30.06.2020";8884;10
"01.07.2020";8892;8
"02.07.2020";8900;8
"03.07.2020";8910;10
"04.07.2020";8912;2
"05.07.2020";8913;1
"06.07.2020";8927;14
"07.07.2020";8937;10
"08.07.2020";8948;11
"09.07.2020";8956;8
"10.07.2020";8969;13
"11.07.2020";8973;4
"12.07.2020";8978;5
"13.07.2020";8997;19
"14.07.2020";9005;8
"15.07.2020";9011;6
"16.07.2020";9015;4
"17.07.2020";9027;12
"18.07.2020";9028;1
"19.07.2020";9031;3
"20.07.2020";9052;21
"21.07.2020";9058;6
"22.07.2020";9080;22
"23.07.2020";9086;6
"24.07.2020";9110;24
"25.07.2020";9116;6
"26.07.2020";9125;9
"27.07.2020";9150;25
"28.07.2020";9166;16
"29.07.2020";9203;37
"30.07.2020";9226;23
"31.07.2020";9298;72
"01.08.2020";9311;13
"02.08.2020";9324;13
"03.08.2020";9362;38
"04.08.2020";9402;40
"05.08.2020";9468;66
"06.08.2020";9546;78
"07.08.2020";9625;79
"08.08.2020";9660;35
"09.08.2020";9694;34
"10.08.2020";9757;63
"11.08.2020";9799;42
"12.08.2020";9862;63
"13.08.2020";9916;54
"14.08.2020";9992;76
"15.08.2020";10035;43
"16.08.2020";10062;27
"17.08.2020";10136;74
"18.08.2020";10193;57
"19.08.2020";10253;60
"20.08.2020";10303;50
"21.08.2020";10356;53
"22.08.2020";10401;45
"23.08.2020";10420;19
"24.08.2020";10487;67
"25.08.2020";10529;42
"26.08.2020";10569;40
"27.08.2020";10620;51
"28.08.2020";10704;84
"29.08.2020";10745;41
"30.08.2020";10796;51
"31.08.2020";10944;148
"01.09.2020";11059;115
"02.09.2020";11160;101
"03.09.2020";11286;126
"04.09.2020";11405;119
"05.09.2020";11478;73
"06.09.2020";11538;60
"07.09.2020";11670;132
"08.09.2020";11783;113
"09.09.2020";11907;124
"10.09.2020";12039;132
"11.09.2020";12157;118
"12.09.2020";12224;67
"13.09.2020";12302;78
"14.09.2020";12405;103
"15.09.2020";12536;131
"16.09.2020";12673;137
"17.09.2020";12789;116
"18.09.2020";12883;94
"19.09.2020";12941;58
"20.09.2020";13018;77
"21.09.2020";13181;163
"22.09.2020";13282;101
"23.09.2020";13425;143
"24.09.2020";13558;133
"25.09.2020";13688;130
"26.09.2020";13750;62
"27.09.2020";13804;54
"28.09.2020";13928;124
"29.09.2020";14038;110
"30.09.2020";14156;118
"01.10.2020";14287;131
"02.10.2020";14421;134
"03.10.2020";14531;110
"04.10.2020";14618;87
"05.10.2020";14823;205
"06.10.2020";15022;199
"07.10.2020";15221;199
"08.10.2020";15388;167
"09.10.2020";15531;143
"10.10.2020";15595;64
"11.10.2020";15672;77
"12.10.2020";15780;108
"13.10.2020";15791;11